Chi Squared Analysis,Chi Squared Value,P-value,dof,Array
104,3.1846153846153844,0.20345555674841467,2,"[[13. 10.  2.]
 [13. 10.  2.]]"
105,0.3565891472868217,0.8366959186184573,2,"[[ 1.5  2.  21.5]
 [ 1.5  2.  21.5]]"
106,0.0,1.0,1,"[[ 1.5 23.5]
 [ 1.5 23.5]]"
107,2.2232558139534886,0.5273822390562768,3,"[[ 0.5  0.5 21.5  2.5]
 [ 0.5  0.5 21.5  2.5]]"
108,0.22325581395348837,0.8943769870303845,2,"[[ 1.   2.5 21.5]
 [ 1.   2.5 21.5]]"
109,1.0232558139534884,0.5995188231194237,2,"[[ 3.   0.5 21.5]
 [ 3.   0.5 21.5]]"
110,1.0232558139534884,0.5995188231194237,2,"[[ 0.5  3.  21.5]
 [ 0.5  3.  21.5]]"
111,1.0232558139534884,0.5995188231194237,2,"[[ 0.5  3.  21.5]
 [ 0.5  3.  21.5]]"
112,0.22325581395348837,0.8943769870303845,2,"[[ 2.5  1.  21.5]
 [ 2.5  1.  21.5]]"
113,1.0212765957446808,0.6001124060641446,2,"[[ 0.5  1.  23.5]
 [ 0.5  1.  23.5]]"
114,5.688804554079696,0.05816902531278717,2,"[[15.5  8.5  1. ]
 [15.5  8.5  1. ]]"
115,4.387301587301588,0.2225657172928878,3,"[[ 3.5  1.   2.5 18. ]
 [ 3.5  1.   2.5 18. ]]"
116,0.22325581395348837,0.8943769870303845,2,"[[ 1.   2.5 21.5]
 [ 1.   2.5 21.5]]"
117,1.8034188034188035,0.4058752625402172,2,"[[ 0.5  6.5 18. ]
 [ 0.5  6.5 18. ]]"
118,2.4242424242424243,0.2975654101475654,2,"[[ 1.   7.5 16.5]
 [ 1.   7.5 16.5]]"
119,3.3636363636363633,0.18603542213433577,2,"[[ 1.  2. 22.]
 [ 1.  2. 22.]]"
120,1.923444976076555,0.38223392524798955,2,"[[ 0.5  5.5 19. ]
 [ 0.5  5.5 19. ]]"
121,1.4256410256410255,0.4902594624483215,2,"[[ 0.5  5.  19.5]
 [ 0.5  5.  19.5]]"
122,5.576923076923077,0.1341094760552864,3,"[[ 0.5  2.   6.5 16. ]
 [ 0.5  2.   6.5 16. ]]"
123,1.4685714285714284,0.4798480852261128,2,"[[12.5 10.5  2. ]
 [12.5 10.5  2. ]]"
124,0.10964912280701754,0.7405439585673184,1,"[[ 6. 19.]
 [ 6. 19.]]"
125,0.8197343453510437,0.6637384068781167,2,"[[15.5  8.5  1. ]
 [15.5  8.5  1. ]]"
126,1.689922480620155,0.4295740080434165,2,"[[ 0.5 21.5  3. ]
 [ 0.5 21.5  3. ]]"
127,4.34965034965035,0.11362801697234277,2,"[[16.5  6.5  2. ]
 [16.5  6.5  2. ]]"
128,3.0222222222222226,0.22066465874200492,2,"[[ 1.  9. 15.]
 [ 1.  9. 15.]]"
129,2.2232558139534886,0.5273822390562768,3,"[[ 0.5  0.5  2.5 21.5]
 [ 0.5  0.5  2.5 21.5]]"
130,0.73015873015873,0.6941415580919374,2,"[[ 4.5 13.5  7. ]
 [ 4.5 13.5  7. ]]"
131,0.0,1.0,1,"[[ 3.5 21.5]
 [ 3.5 21.5]]"
132,0.5551515151515152,0.7576181671131641,2,"[[ 1.5 12.5 11. ]
 [ 1.5 12.5 11. ]]"
133,2.2232558139534886,0.32902290618533614,2,"[[ 2.5  1.  21.5]
 [ 2.5  1.  21.5]]"
134,0.1037037037037037,0.9494695185748855,2,"[[ 7.5 13.5  4. ]
 [ 7.5 13.5  4. ]]"
135,2.356589147286822,0.5017666897251245,3,"[[ 1.5  1.   1.  21.5]
 [ 1.5  1.   1.  21.5]]"
136,4.251748251748252,0.11932861443477104,2,"[[ 1. 11. 13.]
 [ 1. 11. 13.]]"
137,2.2232558139534886,0.5273822390562768,3,"[[ 0.5  2.5  0.5 21.5]
 [ 0.5  2.5  0.5 21.5]]"
138,0.0,1.0,1,"[[23.  2.]
 [23.  2.]]"
139,1.689922480620155,0.4295740080434165,2,"[[ 3.   0.5 21.5]
 [ 3.   0.5 21.5]]"
140,0.37229437229437223,0.8301513992033605,2,"[[11.  10.5  3.5]
 [11.  10.5  3.5]]"
141,0.4502564102564103,0.7984138514473245,2,"[[12.5  6.5  6. ]
 [12.5  6.5  6. ]]"
142,1.689922480620155,0.4295740080434165,2,"[[ 0.5  3.  21.5]
 [ 0.5  3.  21.5]]"
143,0.0,1.0,1,"[[ 3.5 21.5]
 [ 3.5 21.5]]"
144,3.4065934065934065,0.18208226231207328,2,"[[17.5  6.5  1. ]
 [17.5  6.5  1. ]]"
145,2.356589147286822,0.5017666897251245,3,"[[ 1.5  1.  21.5  1. ]
 [ 1.5  1.  21.5  1. ]]"
146,0.09109730848861283,0.955473113618723,2,"[[ 3.  11.5 10.5]
 [ 3.  11.5 10.5]]"
147,2.4782608695652173,0.289635965829174,2,"[[ 2.  11.5 11.5]
 [ 2.  11.5 11.5]]"
148,0.0,1.0,1,"[[ 2.5 22.5]
 [ 2.5 22.5]]"
149,0.8070175438596491,0.6679721673683136,2,"[[ 2.   9.5 13.5]
 [ 2.   9.5 13.5]]"
150,5.3090909090909095,0.07033079994618074,2,"[[ 9. 11.  5.]
 [ 9. 11.  5.]]"
151,1.689922480620155,0.4295740080434165,2,"[[ 0.5  3.  21.5]
 [ 0.5  3.  21.5]]"
152,1.0232558139534884,0.5995188231194237,2,"[[ 0.5  3.  21.5]
 [ 0.5  3.  21.5]]"
153,1.2000000000000002,0.5488116360940265,2,"[[ 0.5  2.5 22. ]
 [ 0.5  2.5 22. ]]"
154,1.689922480620155,0.4295740080434165,2,"[[ 3.   0.5 21.5]
 [ 3.   0.5 21.5]]"
155,0.22325581395348837,0.8943769870303845,2,"[[ 1.   2.5 21.5]
 [ 1.   2.5 21.5]]"
156,0.0,1.0,1,"[[ 3.5 21.5]
 [ 3.5 21.5]]"
157,1.0232558139534884,0.5995188231194237,2,"[[ 3.   0.5 21.5]
 [ 3.   0.5 21.5]]"
158,0.3565891472868217,0.8366959186184573,2,"[[ 2.   1.5 21.5]
 [ 2.   1.5 21.5]]"
159,0.0,1.0,1,"[[ 3.5 21.5]
 [ 3.5 21.5]]"
160,0.0,1.0,2,"[[ 3. 13.  9.]
 [ 3. 13.  9.]]"
161,2.0232558139534884,0.5675939312746454,3,"[[ 0.5  2.   1.  21.5]
 [ 0.5  2.   1.  21.5]]"
